games,summer,team,gold,silver,bronze,total,games_city,games_year,games_country,team_match,population,gdp_pc,home_team_match,home_team
Sydney 2000,1.0,Poland,6,5,3,14,Sydney ,2000,Australia,Poland,38658.0,12732.17,Australia,0
Salt Lake City 2002,0.0,Poland,0,1,1,2,Salt Lake City ,2002,United States,Poland,38629.0,13415.57,United States,0
Athens 2004,1.0,Poland,3,2,5,10,Athens ,2004,Greece,Poland,38580.0,14906.09,Greece,0
Beijing 2008,1.0,Poland,4,5,2,11,Beijing ,2008,China,Poland,38523.0,19011.55,China,0
Vancouver 2010,0.0,Poland,1,3,2,6,Vancouver ,2010,Canada,Poland,38440.0,20608.69,Canada,0
London 2012,1.0,Poland,3,1,7,11,London ,2012,United Kingdom,Poland,38460.0,22188.0,United Kingdom,0
Sochi 2014,0.0,Poland,4,1,1,6,Sochi ,2014,Russia,Poland,38408.0,23266.0,Russian Federation,0
Rio 2016,1.0,Poland,2,3,6,11,Rio ,2016,Brazil,Poland,38366.0,24838.0,Brazil,0
PyeongChang 2018,0.0,Poland,1,0,1,2,PyeongChang ,2018,South Korea,Poland,38371.0,27455.24,Republic of Korea,0
Tokyo 2020,1.0,Poland,4,5,5,14,Tokyo ,2020,Japan,Poland,,,Japan,0
Paris 1924,1.0,Haiti,0,0,1,1,Paris ,1924,France,Haiti,2239.0,,France,0
Amsterdam 1928,1.0,Haiti,0,1,0,1,Amsterdam ,1928,Netherlands,Haiti,2359.0,,Netherlands,0
Paris 1924,1.0,Monaco,0,0,1,1,Paris ,1924,France,,,,France,0
Paris 1924,1.0,Portugal,0,0,1,1,Paris ,1924,France,Portugal,6300.0,2233.0,France,0
Amsterdam 1928,1.0,Portugal,0,0,1,1,Amsterdam ,1928,Netherlands,Portugal,6619.0,2343.0,Netherlands,0
Berlin 1936,1.0,Portugal,0,0,1,1,Berlin ,1936,Germany,Portugal,7305.0,2428.0,Germany,0
London 1948,1.0,Portugal,0,1,1,2,London ,1948,United Kingdom,Portugal,8256.0,3261.0,United Kingdom,0
Helsinki 1952,1.0,Portugal,0,0,1,1,Helsinki ,1952,Finland,Portugal,8526.0,3445.0,Finland,0
Rome 1960,1.0,Portugal,0,1,0,1,Rome ,1960,Italy,Portugal,9037.0,4712.0,Italy,0
Montreal 1976,1.0,Portugal,0,2,0,2,Montreal ,1976,Canada,Portugal,9622.0,10861.0,Canada,0
Los Angeles 1984,1.0,Portugal,1,0,2,3,Los Angeles ,1984,United States,Portugal,9885.0,12894.0,United States,0
Seoul 1988,1.0,Portugal,1,0,0,1,Seoul ,1988,South Korea,Portugal,9921.0,15729.0,Republic of Korea,0
Atlanta 1996,1.0,Portugal,1,0,1,2,Atlanta ,1996,United States,Portugal,10003.0,19939.31,United States,0
Sydney 2000,1.0,Portugal,0,0,2,2,Sydney ,2000,Australia,Portugal,10228.0,23372.04,Australia,0
Athens 2004,1.0,Portugal,0,2,1,3,Athens ,2004,Greece,Portugal,10420.0,24142.77,Greece,0
Beijing 2008,1.0,Portugal,1,1,0,2,Beijing ,2008,China,Portugal,10494.0,25590.88,China,0
London 2012,1.0,Portugal,0,1,0,1,London ,2012,United Kingdom,Portugal,10451.0,24218.0,United Kingdom,0
Rio 2016,1.0,Portugal,0,0,1,1,Rio ,2016,Brazil,Portugal,10263.0,25346.0,Brazil,0
Tokyo 2020,1.0,Portugal,1,1,2,4,Tokyo ,2020,Japan,Portugal,,,Japan,0
Paris 1924,1.0,Romania,0,0,1,1,Paris ,1924,France,Romania,13020.0,606.0,France,0
Berlin 1936,1.0,Romania,0,1,0,1,Berlin ,1936,Germany,Romania,15256.0,693.0,Germany,0
Helsinki 1952,1.0,Romania,1,1,2,4,Helsinki ,1952,Finland,Romania,16630.0,1031.0,Finland,0
Melbourne 1956,1.0,Romania,5,3,5,13,Melbourne ,1956,Australia,Romania,17583.0,1223.0,Australia,0
Rome 1960,1.0,Romania,3,1,6,10,Rome ,1960,Italy,Romania,18403.0,1605.0,Italy,0
Tokyo 1964,1.0,Romania,2,4,6,12,Tokyo ,1964,Japan,Romania,18927.0,2098.0,Japan,0
Mexico City 1968,1.0,Romania,4,6,5,15,Mexico City ,1968,Mexico,Romania,19721.0,2860.0,Mexico,0
Grenoble 1968,0.0,Romania,0,0,1,1,Grenoble ,1968,France,Romania,19721.0,2860.0,France,0
Munich 1972,1.0,Romania,3,6,7,16,Munich ,1972,Germany,Romania,20663.0,3867.0,Germany,0
Montreal 1976,1.0,Romania,4,9,14,27,Montreal ,1976,Canada,Romania,21446.0,4809.0,Canada,0
Moscow 1980,1.0,Romania,6,6,13,25,Moscow ,1980,Russia,Romania,22130.0,5482.0,Russian Federation,0
Los Angeles 1984,1.0,Romania,20,16,17,53,Los Angeles ,1984,United States,Romania,22454.0,6295.0,United States,0
Seoul 1988,1.0,Romania,7,11,6,24,Seoul ,1988,South Korea,Romania,22769.0,6338.0,Republic of Korea,0
Barcelona 1992,1.0,Romania,4,6,8,18,Barcelona ,1992,Spain,Romania,22464.0,4818.3,Spain,0
Atlanta 1996,1.0,Romania,4,7,9,20,Atlanta ,1996,United States,Romania,22292.0,6476.47,United States,0
Sydney 2000,1.0,Romania,11,6,9,26,Sydney ,2000,Australia,Romania,22118.0,7089.95,Australia,0
Athens 2004,1.0,Romania,8,5,6,19,Athens ,2004,Greece,Romania,21141.0,10531.17,Greece,0
Beijing 2008,1.0,Romania,4,1,4,9,Beijing ,2008,China,Romania,20241.0,16347.34,China,0
London 2012,1.0,Romania,2,5,2,9,London ,2012,United Kingdom,Romania,19768.0,17174.0,United Kingdom,0
Rio 2016,1.0,Romania,1,1,2,4,Rio ,2016,Brazil,Romania,19417.0,17782.0,Brazil,0
Tokyo 2020,1.0,Romania,1,3,0,4,Tokyo ,2020,Japan,Romania,,,Japan,0
Amsterdam 1928,1.0,Egypt,2,1,1,4,Amsterdam ,1928,Netherlands,Egypt,15814.54054054054,1583.5824324324324,Netherlands,0
Berlin 1936,1.0,Egypt,2,1,2,5,Berlin ,1936,Germany,Egypt,17772.162162162163,1535.3597297297297,Germany,0
London 1948,1.0,Egypt,2,2,1,5,London ,1948,United Kingdom,Egypt,20708.594594594593,1463.0256756756758,United Kingdom,0
Helsinki 1952,1.0,Egypt,0,0,1,1,Helsinki ,1952,Finland,Egypt,22223.0,1435.0,Finland,0
Los Angeles 1984,1.0,Egypt,0,1,0,1,Los Angeles ,1984,United States,Egypt,48550.0,3810.0,United States,0
Athens 2004,1.0,Egypt,1,1,3,5,Athens ,2004,Greece,Egypt,73195.0,7661.86,Greece,0
Beijing 2008,1.0,Egypt,0,0,2,2,Beijing ,2008,China,Egypt,79677.0,9698.02,China,0
London 2012,1.0,Egypt,0,3,1,4,London ,2012,United Kingdom,Egypt,87840.0,10767.0,United Kingdom,0
Rio 2016,1.0,Egypt,0,0,3,3,Rio ,2016,Brazil,Egypt,97305.0,11351.0,Brazil,0
Tokyo 2020,1.0,Egypt,1,1,4,6,Tokyo ,2020,Japan,Egypt,,,Japan,0
Amsterdam 1928,1.0,India,1,0,0,1,Amsterdam ,1928,Netherlands,India,329700.0,1125.0,Netherlands,0
Los Angeles 1932,1.0,India,1,0,0,1,Los Angeles ,1932,United States,India,345800.0,1130.0,United States,0
Berlin 1936,1.0,India,1,0,0,1,Berlin ,1936,Germany,India,365700.0,1111.0,Germany,0
London 1948,1.0,India,1,0,0,1,London ,1948,United Kingdom,India,350000.0,983.0,United Kingdom,0
Helsinki 1952,1.0,India,1,0,1,2,Helsinki ,1952,Finland,India,372000.0,1003.0,Finland,0
Melbourne 1956,1.0,India,1,0,0,1,Melbourne ,1956,Australia,India,401000.0,1117.0,Australia,0
Rome 1960,1.0,India,0,1,0,1,Rome ,1960,Italy,India,434000.0,1200.0,Italy,0
Tokyo 1964,1.0,India,1,0,0,1,Tokyo ,1964,Japan,India,474000.0,1309.0,Japan,0
Mexico City 1968,1.0,India,0,0,1,1,Mexico City ,1968,Mexico,India,518000.0,1290.0,Mexico,0
Munich 1972,1.0,India,0,0,1,1,Munich ,1972,Germany,India,567000.0,1329.0,Germany,0
Moscow 1980,1.0,India,1,0,0,1,Moscow ,1980,Russia,India,679000.0,1495.0,Russian Federation,0
Atlanta 1996,1.0,India,0,0,1,1,Atlanta ,1996,United States,India,938667.0,2475.57,United States,0
Sydney 2000,1.0,India,0,0,1,1,Sydney ,2000,Australia,India,1007310.0,2753.09,Australia,0
Athens 2004,1.0,India,0,1,0,1,Athens ,2004,Greece,India,1075237.0,3212.51,Greece,0
Beijing 2008,1.0,India,1,0,2,3,Beijing ,2008,China,India,1141711.0,4030.65,China,0
London 2012,1.0,India,0,2,4,6,London ,2012,United Kingdom,India,1206283.0,4932.0,United Kingdom,0
Rio 2016,1.0,India,0,1,1,2,Rio ,2016,Brazil,India,1268155.0,6125.0,Brazil,0
Tokyo 2020,1.0,India,1,2,4,7,Tokyo ,2020,Japan,India,,,Japan,0
Amsterdam 1928,1.0,Chile,0,1,0,1,Amsterdam ,1928,Netherlands,Chile,4140.0,5609.0,Netherlands,0
Helsinki 1952,1.0,Chile,0,2,0,2,Helsinki ,1952,Finland,Chile,6378.0,6252.0,Finland,0
Melbourne 1956,1.0,Chile,0,2,2,4,Melbourne ,1956,Australia,Chile,6889.0,6285.0,Australia,0
Seoul 1988,1.0,Chile,0,1,0,1,Seoul ,1988,South Korea,Chile,12679.0,9199.0,Republic of Korea,0
Sydney 2000,1.0,Chile,0,0,1,1,Sydney ,2000,Australia,Chile,15285.0,15211.62,Australia,0
Athens 2004,1.0,Chile,2,0,1,3,Athens ,2004,Greece,Chile,15958.0,16478.97,Greece,0
Beijing 2008,1.0,Chile,0,1,0,1,Beijing ,2008,China,Chile,16631.0,18804.03,China,0
Amsterdam 1928,1.0,Philippines,0,0,1,1,Amsterdam ,1928,Netherlands,Philippines,12543.0,2219.0,Netherlands,0
Los Angeles 1932,1.0,Philippines,0,0,3,3,Los Angeles ,1932,United States,Philippines,13829.0,2212.0,United States,0
Berlin 1936,1.0,Philippines,0,0,1,1,Berlin ,1936,Germany,Philippines,15199.0,2174.0,Germany,0
Tokyo 1964,1.0,Philippines,0,1,0,1,Tokyo ,1964,Japan,Philippines,32254.0,2550.0,Japan,0
Seoul 1988,1.0,Philippines,0,0,1,1,Seoul ,1988,South Korea,Philippines,62081.0,3355.0,Republic of Korea,0
Barcelona 1992,1.0,Philippines,0,0,1,1,Barcelona ,1992,Spain,Philippines,67933.0,3399.24,Spain,0
Atlanta 1996,1.0,Philippines,0,1,0,1,Atlanta ,1996,United States,Philippines,74209.0,3790.78,United States,0
Rio 2016,1.0,Philippines,0,1,0,1,Rio ,2016,Brazil,Philippines,108645.0,7410.0,Brazil,0
Tokyo 2020,1.0,Philippines,1,2,1,4,Tokyo ,2020,Japan,Philippines,,,Japan,0
Los Angeles 1932,1.0,Mexico,0,2,0,2,Los Angeles ,1932,United States,Mexico,17790.0,1890.0,United States,0
Berlin 1936,1.0,Mexico,0,0,3,3,Berlin ,1936,Germany,Mexico,19040.0,2444.0,Germany,0
London 1948,1.0,Mexico,2,1,2,5,London ,1948,United Kingdom,Mexico,25852.0,3188.0,United Kingdom,0
Helsinki 1952,1.0,Mexico,0,1,0,1,Helsinki ,1952,Finland,Mexico,30144.0,3706.0,Finland,0
Melbourne 1956,1.0,Mexico,1,0,1,2,Melbourne ,1956,Australia,Mexico,33946.0,4213.0,Australia,0
Rome 1960,1.0,Mexico,0,0,1,1,Rome ,1960,Italy,Mexico,38579.0,4723.0,Italy,0
Tokyo 1964,1.0,Mexico,0,0,1,1,Tokyo ,1964,Japan,Mexico,43775.0,5555.0,Japan,0
Mexico City 1968,1.0,Mexico,3,3,3,9,Mexico City ,1968,Mexico,Mexico,49519.0,6432.0,Mexico,1
Munich 1972,1.0,Mexico,0,1,0,1,Munich ,1972,Germany,Mexico,55984.0,7256.0,Germany,0
Montreal 1976,1.0,Mexico,1,0,1,2,Montreal ,1976,Canada,Mexico,62220.0,8131.0,Canada,0
Moscow 1980,1.0,Mexico,0,1,3,4,Moscow ,1980,Russia,Mexico,68347.0,9929.0,Russian Federation,0
Los Angeles 1984,1.0,Mexico,2,3,1,6,Los Angeles ,1984,United States,Mexico,75080.0,9777.0,United States,0
Seoul 1988,1.0,Mexico,0,0,2,2,Seoul ,1988,South Korea,Mexico,81782.0,9193.0,Republic of Korea,0
Barcelona 1992,1.0,Mexico,0,1,0,1,Barcelona ,1992,Spain,Mexico,87906.0,10262.21,Spain,0
Atlanta 1996,1.0,Mexico,0,0,1,1,Atlanta ,1996,United States,Mexico,93508.0,10386.5,United States,0
Sydney 2000,1.0,Mexico,1,2,3,6,Sydney ,2000,Australia,Mexico,98403.0,12613.4,Australia,0
Athens 2004,1.0,Mexico,0,3,1,4,Athens ,2004,Greece,Mexico,103334.0,13287.6,Greece,0
Beijing 2008,1.0,Mexico,2,0,2,4,Beijing ,2008,China,Mexico,108549.0,14808.09,China,0
London 2012,1.0,Mexico,1,3,4,8,London ,2012,United Kingdom,Mexico,114162.0,15639.0,United Kingdom,0
Rio 2016,1.0,Mexico,0,3,2,5,Rio ,2016,Brazil,Mexico,119252.0,16133.0,Brazil,0
Tokyo 2020,1.0,Mexico,0,0,4,4,Tokyo ,2020,Japan,Mexico,,,Japan,0
Los Angeles 1932,1.0,Latvia,0,1,0,1,Los Angeles ,1932,United States,Latvia,,,United States,0
Berlin 1936,1.0,Latvia,0,1,1,2,Berlin ,1936,Germany,Latvia,,,Germany,0
Barcelona 1992,1.0,Latvia,0,2,1,3,Barcelona ,1992,Spain,Latvia,2615.0,9411.2,Spain,0
Atlanta 1996,1.0,Latvia,0,1,0,1,Atlanta ,1996,United States,Latvia,2458.0,8947.27,United States,0
Sydney 2000,1.0,Latvia,1,1,1,3,Sydney ,2000,Australia,Latvia,2368.0,11309.74,Australia,0
Athens 2004,1.0,Latvia,0,4,0,4,Athens ,2004,Greece,Latvia,2263.0,15371.18,Greece,0
Beijing 2008,1.0,Latvia,1,1,1,3,Beijing ,2008,China,Latvia,2178.0,20342.2,China,0
Vancouver 2010,0.0,Latvia,0,2,0,2,Vancouver ,2010,Canada,Latvia,2098.0,17140.23,Canada,0
London 2012,1.0,Latvia,1,0,1,2,London ,2012,United Kingdom,Latvia,2035.0,19405.0,United Kingdom,0
Sochi 2014,0.0,Latvia,1,1,3,5,Sochi ,2014,Russia,Latvia,1994.0,20751.0,Russian Federation,0
PyeongChang 2018,0.0,Latvia,0,0,1,1,PyeongChang ,2018,South Korea,Latvia,1927.0,24312.68,Republic of Korea,0
Tokyo 2020,1.0,Latvia,1,0,1,2,Tokyo ,2020,Japan,Latvia,,,Japan,0
Berlin 1936,1.0,Turkey,1,0,1,2,Berlin ,1936,Germany,Turkey,16434.0,2034.0,Germany,0
London 1948,1.0,Turkey,6,4,2,12,London ,1948,United Kingdom,Turkey,20156.0,2098.0,United Kingdom,0
Helsinki 1952,1.0,Turkey,2,0,1,3,Helsinki ,1952,Finland,Turkey,22236.0,2522.0,Finland,0
Melbourne 1956,1.0,Turkey,3,2,2,7,Melbourne ,1956,Australia,Turkey,24877.0,2777.0,Australia,0
Rome 1960,1.0,Turkey,7,2,0,9,Rome ,1960,Italy,Turkey,28217.0,3041.0,Italy,0
Tokyo 1964,1.0,Turkey,2,3,1,6,Tokyo ,1964,Japan,Turkey,31227.0,3453.0,Japan,0
Mexico City 1968,1.0,Turkey,2,0,0,2,Mexico City ,1968,Mexico,Turkey,34165.0,4122.0,Mexico,0
Munich 1972,1.0,Turkey,0,1,0,1,Munich ,1972,Germany,Turkey,37493.0,4929.0,Germany,0
Los Angeles 1984,1.0,Turkey,0,0,3,3,Los Angeles ,1984,United States,Turkey,49840.0,6736.0,United States,0
Seoul 1988,1.0,Turkey,1,1,0,2,Seoul ,1988,South Korea,Turkey,54356.0,8019.0,Republic of Korea,0
Barcelona 1992,1.0,Turkey,2,2,2,6,Barcelona ,1992,Spain,Turkey,58872.0,9150.43,Spain,0
Atlanta 1996,1.0,Turkey,4,1,1,6,Atlanta ,1996,United States,Turkey,63423.0,10644.63,United States,0
Sydney 2000,1.0,Turkey,3,0,2,5,Sydney ,2000,Australia,Turkey,67839.0,11904.01,Australia,0
Athens 2004,1.0,Turkey,3,3,4,10,Athens ,2004,Greece,Turkey,71358.0,13423.79,Greece,0
Beijing 2008,1.0,Turkey,1,1,3,5,Beijing ,2008,China,Turkey,75003.0,16182.73,China,0
London 2012,1.0,Turkey,1,1,1,3,London ,2012,United Kingdom,Turkey,79357.0,18170.0,United Kingdom,0
Rio 2016,1.0,Turkey,1,3,4,8,Rio ,2016,Brazil,Turkey,83687.0,17906.0,Brazil,0
Tokyo 2020,1.0,Turkey,2,2,9,13,Tokyo ,2020,Japan,Turkey,,,Japan,0
London 1948,1.0,Jamaica,1,2,0,3,London ,1948,United Kingdom,Jamaica,1350.0,2311.6666666666665,United Kingdom,0
Helsinki 1952,1.0,Jamaica,2,3,0,5,Helsinki ,1952,Finland,Jamaica,1426.0,2397.0,Finland,0
Mexico City 1968,1.0,Jamaica,0,1,0,1,Mexico City ,1968,Mexico,Jamaica,1893.0,5235.0,Mexico,0
Munich 1972,1.0,Jamaica,0,0,1,1,Munich ,1972,Germany,Jamaica,1998.0,6150.0,Germany,0
Montreal 1976,1.0,Jamaica,1,1,0,2,Montreal ,1976,Canada,Jamaica,2133.0,5681.0,Canada,0
Moscow 1980,1.0,Jamaica,0,0,3,3,Moscow ,1980,Russia,Jamaica,2229.0,4975.0,Russian Federation,0
Los Angeles 1984,1.0,Jamaica,0,1,2,3,Los Angeles ,1984,United States,Jamaica,2313.0,5059.0,United States,0
Seoul 1988,1.0,Jamaica,0,2,0,2,Seoul ,1988,South Korea,Jamaica,2330.0,5397.0,Republic of Korea,0
Barcelona 1992,1.0,Jamaica,0,3,1,4,Barcelona ,1992,Spain,Jamaica,2413.0,6292.03,Spain,0
Atlanta 1996,1.0,Jamaica,1,3,2,6,Atlanta ,1996,United States,Jamaica,2546.0,6648.93,United States,0
Sydney 2000,1.0,Jamaica,0,6,3,9,Sydney ,2000,Australia,Jamaica,2670.0,6531.28,Australia,0
Athens 2004,1.0,Jamaica,2,1,2,5,Athens ,2004,Greece,Jamaica,2711.0,7004.98,Greece,0
Beijing 2008,1.0,Jamaica,5,4,1,10,Beijing ,2008,China,Jamaica,2705.0,7353.11,China,0
London 2012,1.0,Jamaica,4,5,3,12,London ,2012,United Kingdom,Jamaica,2686.0,7053.0,United Kingdom,0
Rio 2016,1.0,Jamaica,6,3,2,11,Rio ,2016,Brazil,Jamaica,2674.0,7084.0,Brazil,0
Tokyo 2020,1.0,Jamaica,4,1,4,9,Tokyo ,2020,Japan,Jamaica,,,Japan,0
London 1948,1.0,Peru,1,0,0,1,London ,1948,United Kingdom,Peru,7376.0,3282.0,United Kingdom,0
Los Angeles 1984,1.0,Peru,0,1,0,1,Los Angeles ,1984,United States,Peru,19011.0,5859.0,United States,0
Seoul 1988,1.0,Peru,0,1,0,1,Seoul ,1988,South Korea,Peru,20710.0,6003.0,Republic of Korea,0
Barcelona 1992,1.0,Peru,0,1,0,1,Barcelona ,1992,Spain,Peru,22528.0,4698.48,Spain,0
London 1948,1.0,Trinidad and Tobago,0,1,0,1,London ,1948,United Kingdom,Trinidad and Tobago,600.0,,United Kingdom,0
Helsinki 1952,1.0,Trinidad and Tobago,0,0,2,2,Helsinki ,1952,Finland,Trinidad and Tobago,663.0,6282.0,Finland,0
Tokyo 1964,1.0,Trinidad and Tobago,0,1,2,3,Tokyo ,1964,Japan,Trinidad and Tobago,924.0,10841.0,Japan,0
Montreal 1976,1.0,Trinidad and Tobago,1,0,0,1,Montreal ,1976,Canada,Trinidad and Tobago,1021.0,15696.0,Canada,0
Atlanta 1996,1.0,Trinidad and Tobago,0,0,2,2,Atlanta ,1996,United States,Trinidad and Tobago,1262.0,15004.26,United States,0
Sydney 2000,1.0,Trinidad and Tobago,0,1,1,2,Sydney ,2000,Australia,Trinidad and Tobago,1252.0,19179.92,Australia,0
Athens 2004,1.0,Trinidad and Tobago,0,0,1,1,Athens ,2004,Greece,Trinidad and Tobago,1239.0,25403.27,Greece,0
Beijing 2008,1.0,Trinidad and Tobago,1,1,0,2,Beijing ,2008,China,Trinidad and Tobago,1231.0,31434.3,China,0
London 2012,1.0,Trinidad and Tobago,1,1,2,4,London ,2012,United Kingdom,Trinidad and Tobago,1226.0,30157.0,United Kingdom,0
Rio 2016,1.0,Trinidad and Tobago,0,0,1,1,Rio ,2016,Brazil,Trinidad and Tobago,1220.0,29178.0,Brazil,0
London 1948,1.0,Sri Lanka,0,1,0,1,London ,1948,United Kingdom,Sri Lanka,7244.0,1847.0,United Kingdom,0
Sydney 2000,1.0,Sri Lanka,0,1,0,1,Sydney ,2000,Australia,Sri Lanka,18820.0,5841.09,Australia,0
London 1948,1.0,Cuba,0,1,0,1,London ,1948,United Kingdom,Cuba,5268.0,2507.0,United Kingdom,0
Tokyo 1964,1.0,Cuba,0,1,0,1,Tokyo ,1964,Japan,Cuba,7612.0,3158.0,Japan,0
Mexico City 1968,1.0,Cuba,0,4,0,4,Mexico City ,1968,Mexico,Cuba,8284.0,3229.0,Mexico,0
Munich 1972,1.0,Cuba,3,1,4,8,Munich ,1972,Germany,Cuba,8830.0,3253.0,Germany,0
Montreal 1976,1.0,Cuba,6,4,3,13,Montreal ,1976,Canada,Cuba,9418.0,3786.0,Canada,0
Moscow 1980,1.0,Cuba,8,7,5,20,Moscow ,1980,Russia,Cuba,9648.0,4106.0,Russian Federation,0
Barcelona 1992,1.0,Cuba,14,6,11,31,Barcelona ,1992,Spain,Cuba,10780.0,3399.96,Spain,0
Atlanta 1996,1.0,Cuba,9,8,8,25,Atlanta ,1996,United States,Cuba,10963.0,3249.64,United States,0
Sydney 2000,1.0,Cuba,11,11,7,29,Sydney ,2000,Australia,Cuba,11147.0,4009.34,Australia,0
Athens 2004,1.0,Cuba,9,7,11,27,Athens ,2004,Greece,Cuba,11260.0,4561.02,Greece,0
Beijing 2008,1.0,Cuba,3,10,17,30,Beijing ,2008,China,Cuba,11258.0,6004.89,China,0
London 2012,1.0,Cuba,5,3,7,15,London ,2012,United Kingdom,Cuba,11262.0,7138.0,United Kingdom,0
Rio 2016,1.0,Cuba,5,2,4,11,Rio ,2016,Brazil,Cuba,11180.0,8000.0,Brazil,0
Tokyo 2020,1.0,Cuba,7,3,5,15,Tokyo ,2020,Japan,Cuba,,,Japan,0
London 1948,1.0,Republic of Korea,0,0,2,2,London ,1948,United Kingdom,Republic of Korea,20027.0,1098.87,United Kingdom,0
Helsinki 1952,1.0,Republic of Korea,0,0,2,2,Helsinki ,1952,Finland,Republic of Korea,20948.0,1038.04,Finland,0
Melbourne 1956,1.0,Republic of Korea,0,1,1,2,Melbourne ,1956,Australia,Republic of Korea,22031.0,1381.98,Australia,0
Tokyo 1964,1.0,Republic of Korea,0,2,1,3,Tokyo ,1964,Japan,Republic of Korea,27984.0,1834.98,Japan,0
Mexico City 1968,1.0,Republic of Korea,0,1,1,2,Mexico City ,1968,Mexico,Republic of Korea,30838.0,2468.48,Mexico,0
Munich 1972,1.0,Republic of Korea,0,1,0,1,Munich ,1972,Germany,Republic of Korea,33505.0,3387.89,Germany,0
Montreal 1976,1.0,Republic of Korea,1,1,4,6,Montreal ,1976,Canada,Republic of Korea,35860.0,4855.94,Canada,0
Los Angeles 1984,1.0,Republic of Korea,6,6,7,19,Los Angeles ,1984,United States,Republic of Korea,40406.0,8303.52,United States,0
Seoul 1988,1.0,Republic of Korea,12,10,11,33,Seoul ,1988,South Korea,Republic of Korea,42031.0,12039.95,Republic of Korea,1
Albertville 1992,0.0,Republic of Korea,2,1,1,4,Albertville ,1992,France,Republic of Korea,43748.0,15712.0,France,0
Barcelona 1992,1.0,Republic of Korea,12,5,12,29,Barcelona ,1992,Spain,Republic of Korea,43748.0,15712.0,Spain,0
Lillehammer 1994,0.0,Republic of Korea,4,1,1,6,Lillehammer ,1994,Norway,Republic of Korea,44642.0,17720.4,Norway,0
Atlanta 1996,1.0,Republic of Korea,7,15,5,27,Atlanta ,1996,United States,Republic of Korea,45525.0,20204.56,United States,0
Nagano 1998,0.0,Republic of Korea,3,1,2,6,Nagano ,1998,Japan,Republic of Korea,46287.0,19624.69,Japan,0
Sydney 2000,1.0,Republic of Korea,8,10,10,28,Sydney ,2000,Australia,Republic of Korea,47008.0,23108.02,Australia,0
Salt Lake City 2002,0.0,Republic of Korea,2,2,0,4,Salt Lake City ,2002,United States,Republic of Korea,47645.0,25250.64,United States,0
Athens 2004,1.0,Republic of Korea,9,12,9,30,Athens ,2004,Greece,Republic of Korea,48083.0,26646.5,Greece,0
Beijing 2008,1.0,Republic of Korea,13,11,8,32,Beijing ,2008,China,Republic of Korea,49055.0,30117.73,China,0
Vancouver 2010,0.0,Republic of Korea,6,6,2,14,Vancouver ,2010,Canada,Republic of Korea,49554.0,31537.77,Canada,0
London 2012,1.0,Republic of Korea,13,9,8,30,London ,2012,United Kingdom,Republic of Korea,50200.0,32791.0,United Kingdom,0
Sochi 2014,0.0,Republic of Korea,3,3,2,8,Sochi ,2014,Russia,Republic of Korea,50747.0,34493.0,Russian Federation,0
Rio 2016,1.0,Republic of Korea,9,3,9,21,Rio ,2016,Brazil,Republic of Korea,51218.0,36103.0,Brazil,0
PyeongChang 2018,0.0,Republic of Korea,5,8,4,17,PyeongChang ,2018,South Korea,Republic of Korea,51635.0,37927.61,Republic of Korea,1
Tokyo 2020,1.0,Republic of Korea,6,4,10,20,Tokyo ,2020,Japan,Republic of Korea,,,Japan,0
London 1948,1.0,Panama,0,0,2,2,London ,1948,United Kingdom,Panama,822.0,2724.0,United Kingdom,0
Beijing 2008,1.0,Panama,1,0,0,1,Beijing ,2008,China,Panama,3310.0,14466.97,China,0
London 1948,1.0,Islamic Republic of Iran,0,0,1,1,London ,1948,United Kingdom,Iran (Islamic Republic of),16067.108108108107,2662.7027027027025,United Kingdom,0
Helsinki 1952,1.0,Islamic Republic of Iran,0,3,4,7,Helsinki ,1952,Finland,Iran (Islamic Republic of),17267.0,2597.0,Finland,0
Melbourne 1956,1.0,Islamic Republic of Iran,2,2,1,5,Melbourne ,1956,Australia,Iran (Islamic Republic of),19233.0,2541.0,Australia,0
Rome 1960,1.0,Islamic Republic of Iran,0,1,3,4,Rome ,1960,Italy,Iran (Islamic Republic of),21548.0,3437.0,Italy,0
Tokyo 1964,1.0,Islamic Republic of Iran,0,0,2,2,Tokyo ,1964,Japan,Iran (Islamic Republic of),24218.0,4026.0,Japan,0
Mexico City 1968,1.0,Islamic Republic of Iran,2,1,2,5,Mexico City ,1968,Mexico,Iran (Islamic Republic of),27254.0,5659.0,Mexico,0
Munich 1972,1.0,Islamic Republic of Iran,0,2,1,3,Munich ,1972,Germany,Iran (Islamic Republic of),30522.0,8247.0,Germany,0
Montreal 1976,1.0,Islamic Republic of Iran,0,1,1,2,Montreal ,1976,Canada,Iran (Islamic Republic of),34259.0,10665.0,Canada,0
Seoul 1988,1.0,Islamic Republic of Iran,0,1,0,1,Seoul ,1988,South Korea,Iran (Islamic Republic of),52997.0,5249.0,Republic of Korea,0
Barcelona 1992,1.0,Islamic Republic of Iran,0,1,2,3,Barcelona ,1992,Spain,Iran (Islamic Republic of),59096.0,7036.32,Spain,0
Atlanta 1996,1.0,Islamic Republic of Iran,1,1,1,3,Atlanta ,1996,United States,Iran (Islamic Republic of),62629.0,7746.41,United States,0
Sydney 2000,1.0,Islamic Republic of Iran,3,0,1,4,Sydney ,2000,Australia,Iran (Islamic Republic of),65976.0,9104.76,Australia,0
